,NAME,AGE,RATING,WAGE,POTENTIAL,VALUE,TOTAL,Acceleration,Aggression,Agility,Balance,ballControll,Composure,Crossing,Defending,Height,Weight,Nationality,position
7013,M. Abu,25,68,5,70,1,1845,71,73,75,69,68,61,53,183,175,68,Ghana,CDM CM
7014,A. Weis,27,68,6,69,0.784,1025,37,23,38,40,18,40,18,33,189,84,Germany,GK
7015,V. Podberezkin,25,68,24,69,1.2,1850,75,56,69,68,68,63,59,186,187,76,Russia,RM CAM CM LM
7016,H. Sakhi,21,68,5,75,1.4,1747,73,45,73,60,72,69,62,170,173,68,Morocco,CAM RM CM
7017,J. Narvez,22,68,13,77,1.5,1768,74,38,64,71,71,51,33,143,180,76,Colombia,CM LM ST
7018,Sergio Marcos,25,68,6,71,1.2,1739,63,43,74,70,68,61,68,138,176,69,Spain,CM CAM CDM
7019,Ado Morrinhos,25,68,19,68,1.1,1656,57,44,67,68,63,70,60,58,177,73,Brazil,ST CF
7020,D. Limnios,19,68,1,78,1.6,1682,77,50,75,77,72,65,65,81,180,71,Greece,LM
7021,A. Sosnin,27,68,20,69,0.952,1767,73,56,72,74,65,62,59,208,178,72,Russia,CDM
7022,S. Schwab,26,68,14,71,1,1914,66,70,63,64,72,69,59,180,183,78,Austria,CDM CM CAM
7023,I. Daz,27,68,10,68,1.1,1670,72,78,67,65,66,70,33,66,181,84,Chile,ST
7024,J. Rinne,24,68,6,73,0.98,1090,46,27,47,33,20,66,15,40,187,81,Sweden,GK
7025,S. Marinovi,25,68,4,73,0.952,1158,47,16,35,44,21,45,11,66,192,96,New Zealand,GK
7026,E. Knudtzon,28,68,5,68,1,1792,92,71,73,78,67,62,62,119,178,70,Norway,ST
7027,R. Improta,23,68,19,74,1.4,1494,78,25,81,76,68,66,63,41,179,73,Italy,LW RW
7028,Alex Muoz,22,68,4,74,1.2,1692,68,59,59,62,59,58,56,201,185,74,Spain,CB LB
7029,D. Kinsombi,21,68,6,75,1.2,1663,68,66,67,67,61,61,50,207,184,74,Germany,CDM CB CM
7030,M. Fatau,24,68,9,70,1,1713,66,71,65,66,65,54,55,202,178,75,Ghana,CDM CM
7031,A. Armstrong,20,68,30,80,1.8,1784,89,78,83,90,66,66,53,58,172,69,England,LM ST
7032,T. Lam,23,68,15,71,1.1,1771,72,74,58,70,67,63,49,203,188,76,Finland,CB CM CDM
7033,Jess Imaz,26,68,6,68,1.1,1677,74,36,75,72,68,61,61,86,174,70,Spain,LM CAM
7034,S. Chernik,29,68,5,68,0.672,904,21,21,31,35,15,24,10,31,187,84,Belarus,GK
7035,S. Kurata,28,68,9,68,1,1830,54,67,68,75,72,56,65,206,172,68,Japan,LM CAM CM
7036,J. Payne,22,68,26,74,1.4,1641,80,53,85,87,68,56,54,54,169,60,England,CAM RM
7037,L. Valzania,21,68,14,79,1.7,1681,74,55,58,62,69,58,49,150,184,77,Italy,CM
7038,J. George,24,68,7,71,1.3,1704,78,65,79,85,65,59,59,61,176,75,Germany,RM CAM
7039,J. Torunarigha,19,68,9,80,1.5,1497,69,58,54,52,55,62,31,209,189,77,Germany,CB LB
7040,K. Diatta,18,68,10,81,1.8,1779,90,36,88,79,71,72,58,127,173,68,Senegal,ST RM LM
7041,O. Yldrm,24,68,14,73,1.3,1687,65,48,85,79,74,59,62,90,173,76,Germany,CAM LM RM
7042,J. Uchuari,23,68,0,73,0,1790,66,54,69,94,67,64,64,101,162,60,Ecuador,CAM
7043,E. Bakker,27,68,8,68,1,1761,68,36,71,62,70,69,60,143,178,77,Netherlands,CM
7044,K. Petersen,32,68,9,68,0.588,1541,46,83,67,59,53,55,48,197,187,83,Denmark,CB
7045,C. Colmn,23,68,6,74,1.4,1593,67,65,70,64,65,61,29,54,183,79,Paraguay,ST
7046,C. Muoz,40,68,2,68,0.067,1242,53,35,33,58,31,40,25,54,177,73,Argentina,GK
7047,Cris Laranjeiros,33,68,16,68,0.644,1715,77,58,75,80,72,65,44,70,175,72,Brazil,ST CAM
7048,P. Cuadra,22,68,12,78,1.6,1630,88,32,81,79,68,57,40,59,172,64,Argentina,ST LM
7049,M. Wallace,24,68,7,73,1.1,1416,49,64,50,56,58,59,25,198,188,75,Scotland,CB LB
7050,J. Iloki,25,68,15,69,1.2,1601,80,35,77,82,65,68,73,89,172,75,France,RM RW
7051,E. Dening,28,68,11,68,1,1658,70,62,75,78,66,58,42,73,176,70,Argentina,RM ST CAM
7052,Han Kwang Song,18,68,20,87,2.1,1615,82,33,73,70,69,63,40,71,178,70,Korea DPR,ST
7053,M. Osuna,28,68,8,68,0.812,1872,65,60,64,63,68,56,59,202,177,76,Mexico,CDM RB
7054,L. Menossi,23,68,8,76,1.3,1889,77,63,90,91,66,64,63,193,168,65,Argentina,CDM
7055,M. El Kabir,28,68,4,68,1,1808,69,73,70,67,70,67,61,76,174,84,Morocco,LM ST RM
7056,Neto Berola,29,68,7,68,1,1757,85,48,83,81,71,64,59,117,171,66,Brazil,ST RM
7057,B. Pawowski,24,68,6,71,1.3,1681,85,43,82,72,68,69,61,50,178,70,Poland,LM RM
7058,S. zkan,30,68,12,68,0.952,1726,75,57,79,85,70,62,64,74,172,68,Turkey,LM LW
7059,J. Bednarek,21,68,31,77,1.4,1481,63,67,59,62,55,58,44,202,189,77,Poland,CB
7060,F. Dabo,21,68,6,75,1.2,1691,70,77,59,62,62,67,61,198,181,76,England,RB
7061,D. De fauw,35,68,7,68,0.213,1836,42,68,60,62,68,80,76,205,186,69,Belgium,RB LB
7062,J. Kayembe,22,68,15,74,1.4,1656,78,70,71,70,72,61,66,99,182,73,Belgium,LW RW
7063,Arthur Silbeira,33,68,12,68,0.644,1668,63,52,43,72,66,73,58,85,178,78,Brazil,ST
7064,N. Dovedan,22,68,12,73,1.4,1733,79,50,87,85,71,60,62,80,171,71,Austria,ST CAM
7065,E. Makeev,27,68,20,69,0.952,1846,76,74,68,70,71,67,65,196,183,73,Russia,CB RB LB
7066,M. Kegel,27,68,1,68,1,1759,62,52,61,56,64,65,65,160,183,82,Germany,CM CDM
7067,P. Dawidowicz,22,68,3,79,1.5,1746,64,78,65,61,57,62,44,189,191,85,Poland,CB CDM CM
7068,K. Kele,29,68,12,68,0.756,1787,78,62,79,78,62,58,63,196,174,67,Turkey,LB
7069,F. Kalig,24,68,5,72,1.1,1624,67,73,63,70,49,56,46,207,180,77,Germany,CB
7070,K. Higashi,26,68,8,68,1.1,1789,70,65,63,63,65,64,66,124,178,72,Japan,LM CM RM
7071,B. Merlini,21,68,11,77,1.6,1754,80,72,93,84,66,58,61,135,165,62,Argentina,LM CM RM
7072,S. MacLean,34,68,6,68,0.532,1752,61,68,76,71,67,75,44,92,180,79,Scotland,ST
7073,T. Nedelev,24,68,0,73,0,1659,78,28,78,76,68,59,65,66,176,70,Bulgaria,CAM RM LM
7074,C. Cadden,20,68,5,78,1.6,1765,78,61,79,70,66,62,71,146,183,71,Scotland,RM CM
7075,K. Mizunuma,27,68,5,68,1.1,1713,66,49,77,67,67,51,65,116,176,72,Japan,RM
7076,L. Noriega,32,68,8,68,0.756,1897,68,75,69,71,65,71,58,189,172,73,Mexico,CM CDM
7077,B. Fofana,27,68,5,68,0.84,1758,51,87,66,47,60,69,37,194,190,82,Guinea,CDM CM
7078,D. Nazarov,27,68,7,68,1.1,1772,77,38,75,67,69,64,62,78,185,74,Azerbaijan,ST RW LW
7079,E. Onuachu,23,68,17,74,1.4,1653,68,60,47,46,68,65,41,111,201,84,Nigeria,ST
7080,T. Tzimopoulos,31,68,0,68,0,1603,54,90,44,45,56,70,44,187,187,82,New Zealand,CB CDM
7081,J. Assoubre,24,68,7,71,1.3,1642,89,42,85,67,71,66,62,72,180,67,Ivory Coast,RM LM
7082,L. Abubakar,22,68,5,74,1.2,1518,55,76,55,51,50,48,34,190,185,84,Ghana,CB
7083,G. Ghazaryan,29,68,7,68,0.98,1817,68,61,70,71,71,70,67,118,177,73,Armenia,LM CM RM
7084,P. Hidi,26,68,7,69,1.2,1769,59,40,63,56,71,63,72,166,186,78,Hungary,CM CAM CDM
7085,C. Robles,25,68,1,72,1.1,1653,55,59,56,62,63,62,44,206,171,70,Colombia,CDM CM
7086,Enzio Julio,33,68,13,68,0.644,1715,71,58,72,68,69,72,37,130,185,78,Brazil,ST
7087,R. Pea,20,68,5,75,1.4,1526,71,76,68,59,65,59,30,47,183,78,Venezuela,ST
7088,M. Clarke,20,68,6,81,1.7,1566,54,70,45,65,53,67,41,198,188,74,England,CB LB
7089,Xande Silva,20,68,6,74,1.4,1623,84,42,81,68,72,67,54,59,177,68,Portugal,RM LM
7090,S. Marzo,26,68,10,69,0.952,1640,67,71,68,72,64,66,64,200,181,72,Belgium,RB
7091,J. Cooper,22,68,18,75,1.2,1491,52,62,43,53,56,48,27,202,193,85,England,CB
7092,Carlos Abad,22,68,4,78,1.2,1171,46,27,32,42,21,27,15,52,193,88,Spain,GK
7093,Auro,21,68,4,78,1.4,1830,77,62,75,88,63,59,63,194,168,64,Brazil,RB
7094,T. Cardona,21,68,10,78,1.4,1640,52,62,65,53,60,55,44,204,188,80,Argentina,CB
7095,B. Radunovi,21,68,9,79,1.4,1081,42,24,35,41,21,32,15,41,194,90,Serbia,GK
7096,B. Pel,25,68,15,69,1.2,1643,72,31,76,86,69,59,69,98,169,65,France,LM LW RM
7097,Ricardinho,32,68,7,68,0.56,1960,74,80,81,89,70,77,68,190,168,72,Brazil,LB
7098,Delms,22,68,6,76,1.3,1641,73,60,65,60,57,53,69,199,174,63,Spain,RB
7099,L. Duarte,26,68,8,69,1.2,1896,57,64,65,78,71,66,73,177,168,65,Netherlands,CM LB
7100,N. Menp,32,68,22,68,0.588,1008,31,32,55,30,16,38,16,37,190,86,Finland,GK
7101,M. Kightly,31,68,8,68,0.868,1746,76,48,70,69,68,67,67,96,173,71,England,LM
7102,T. Lockyer,22,68,6,75,1.2,1627,72,79,70,64,61,56,46,200,180,72,Wales,CB
7103,P. van Amersfoort,21,68,6,75,1.4,1751,53,67,55,55,70,72,43,136,193,77,Netherlands,CM CAM
7104,Gian Martins,24,68,7,72,1.3,1822,74,82,75,70,71,73,57,157,184,74,Brazil,CM CDM
7105,M. Cassani,33,68,4,68,0.392,1806,61,70,58,59,63,74,68,203,184,75,Italy,LB CB RB
7106,T. Haye,22,68,7,72,1.3,1835,67,68,74,72,75,61,72,173,177,74,Netherlands,CM LM RM CAM
7107,A. Favilli,20,68,3,80,1.8,1459,73,29,58,70,67,60,37,44,190,78,Italy,ST
7108,L. Balanta,26,68,3,68,0.84,1645,63,49,58,52,61,58,62,212,186,78,Colombia,LB LM
7109,A. Contrera,25,68,7,71,1.3,1774,67,55,55,56,70,70,69,128,185,70,Paraguay,CAM
7110,P. Zanev,31,68,14,68,0.672,1797,50,75,69,70,63,59,72,201,180,70,Bulgaria,CB LWB
7111,D. Pisot,29,68,1,68,0.784,1759,64,70,66,59,68,65,58,201,186,82,Germany,CB RB
7112,D. Rubio,24,68,6,73,1.4,1736,71,66,73,77,69,58,52,108,179,77,Chile,ST
7113,P. Vlachodimos,25,68,4,68,1.1,1686,80,56,77,55,66,62,65,73,184,74,Greece,LM
7114,E. Hestad,22,68,5,75,1.4,1822,78,62,79,73,69,69,67,159,183,75,Norway,CM RW
7115,J. Foyth,19,68,22,85,1.9,1725,74,55,75,74,69,57,41,198,187,69,Argentina,CB
7116,S. Adamyan,24,68,7,71,1.3,1693,78,66,75,68,69,62,48,70,184,75,Armenia,CAM ST
7117,G. Koomson,22,68,4,77,1.5,1720,86,58,80,67,64,69,69,88,180,69,Ghana,RW RM
7118,V. Lavigne,23,68,6,73,1.3,1768,81,52,80,82,70,63,64,109,180,76,France,RW ST RM
7119,V. Marchetti,19,68,3,79,1.7,1846,69,59,70,67,73,61,68,204,181,70,France,CM CDM
7120,J. Moulin,31,68,16,68,0.616,1092,51,20,48,56,23,59,15,42,185,88,France,GK
7121,J. Akpala,30,68,12,68,0.98,1673,64,68,61,55,55,65,53,104,185,81,Nigeria,ST
7122,J. Welsh,33,68,10,68,0.42,1645,32,81,41,71,62,66,53,202,170,73,England,CDM CM
7123,Kim Seung Gyu,26,68,4,70,0.84,1073,36,27,38,58,20,56,14,42,187,80,Korea Republic,GK
7124,R. Vitiello,34,68,3,68,0.302,1608,64,70,65,72,57,64,61,208,176,72,Italy,CB RB
7125,E. vila,23,68,13,75,1.4,1662,79,70,72,63,67,60,56,68,179,81,Argentina,ST RM LM
7126,Q. Boisgard,20,68,15,81,1.9,1714,69,59,65,62,68,65,64,139,174,75,France,CAM
7127,A. Bassi,19,68,3,75,1.4,1802,71,64,71,68,67,65,64,153,173,72,Morocco,CAM
7128,J. Zavala,29,68,31,68,0.784,1783,54,70,55,52,67,71,54,202,190,88,Mexico,CDM CM
7129,D. N'Gog,28,68,7,68,1,1721,65,35,68,62,70,70,62,88,190,79,France,ST
7130,A. Mazzotta,27,68,4,68,0.84,1785,75,71,63,73,64,65,65,198,183,73,Italy,LB LM
7131,G. Banguera,21,68,1,80,1.4,1031,40,21,44,45,14,25,12,46,187,80,Colombia,GK
7132,M. Fall,25,68,10,69,1.2,1694,83,57,78,63,66,66,61,59,184,70,Senegal,RM
7133,Lim Sang Hyub,28,68,8,68,1,1755,71,40,80,65,67,41,64,95,180,73,Korea Republic,LW
7134,D. Kdzior,25,68,5,71,1.3,1776,82,52,83,82,66,60,67,128,173,69,Poland,RM
7135,J. Nyholm,23,68,6,74,1.2,1696,76,64,83,71,65,57,43,202,183,74,Sweden,CB
7136,M. Belyaev,25,68,16,73,1.1,1428,69,55,40,61,36,63,33,216,188,83,Russia,CB
7137,C. Bejarano,32,68,1,68,0.588,1106,56,16,61,52,24,23,11,39,184,83,Equatorial Guinea,GK
7138,M. Kanno,22,68,21,77,1.5,1868,75,66,73,59,71,60,60,184,191,73,Saudi Arabia,CAM CM CDM
7139,D. Lainez,17,68,18,83,2,1742,69,50,65,93,71,59,58,150,167,58,Mexico,RM LM
7140,G. Torres,21,68,4,79,1.7,1763,80,42,77,65,68,55,60,168,181,77,Colombia,ST RW
7141,R. Janicki,24,68,5,69,1,1602,53,71,50,56,54,63,46,206,188,83,Poland,CB
7142,J. Contreras,22,68,0,78,0,957,15,22,36,37,14,34,13,34,186,86,Venezuela,GK
7143,K. Azamoum,27,68,14,68,0.84,1828,65,59,73,76,68,61,69,194,178,74,France,CDM CM
7144,F. Mller,24,68,1,71,1.3,1828,84,65,84,81,66,61,61,186,178,71,Germany,LM CAM
7145,K. Pierie,16,68,2,85,1.8,1571,74,64,66,53,68,68,47,203,185,75,Netherlands,CB LB
7146,J. Rossiter,20,68,22,80,1.6,1756,65,75,70,71,68,55,46,206,178,64,England,CDM
7147,Joo Gamboa,20,68,5,76,1.3,1753,60,65,56,56,73,63,53,173,187,80,Portugal,CDM CM
7148,M. Tosetti,25,68,10,69,1.2,1624,80,42,64,76,70,60,72,81,176,68,Switzerland,RM LM
7149,M. Asterga,33,68,5,68,0.392,1850,78,51,87,89,61,73,66,204,166,62,Chile,RB
7150,C. Acevedo,21,68,8,74,1,928,21,16,37,43,15,25,10,28,184,72,Mexico,GK
7151,D. Vidoi,30,68,9,68,0.952,1870,73,59,67,70,68,66,67,146,184,74,Australia,LM CAM
7152,Roberson,28,68,6,68,1,1675,68,47,75,67,66,55,47,98,184,72,Brazil,CF CAM
7153,D. McGeouch,24,68,5,71,1.3,1758,63,62,68,81,69,69,59,172,178,69,Scotland,CM
7154,Kike Barja,20,68,6,75,1.4,1643,79,47,74,68,69,55,65,76,178,69,Spain,RM LM
7155,D. Bahamboula,22,68,12,73,1.4,1726,71,43,70,63,77,61,55,131,185,64,Congo,ST RM LM
7156,A. Tuia,27,68,4,70,0.98,1520,66,60,59,56,50,56,36,204,184,74,Italy,CB
7157,E. Papa,35,68,5,68,0.213,1826,72,71,73,75,65,63,70,195,169,67,Argentina,LB LM CM
7158,Zhang Yuning,20,68,33,76,1.5,1628,64,47,64,65,68,60,53,66,183,69,China PR,ST
7159,J. Perch,31,68,17,68,0.644,1746,64,70,62,71,65,64,63,206,180,80,England,RB CB
7160,Aguilera,31,68,6,68,0.672,1758,71,67,76,59,70,76,41,174,185,76,Spain,CDM
7161,J. Anibaba,28,68,6,68,0.812,1678,60,67,66,61,56,58,58,197,183,77,United States,CB RB LB
7162,A. Gnoukouri,20,68,27,76,1.5,1800,64,70,58,70,72,58,62,200,180,71,Ivory Coast,CM CDM
7163,S. De Smet,32,68,10,68,0.784,1811,47,69,63,64,70,68,68,128,184,82,Belgium,LM RM CAM
7164,M. Affonso,25,68,8,71,1.3,1707,67,73,52,57,67,68,60,76,192,75,Uruguay,ST
7165,K. Misao,21,68,6,78,1.4,1740,72,68,66,67,71,59,65,200,181,73,Japan,CDM CB CM
7166,P. Papp,27,68,9,68,0.84,1670,63,63,59,59,49,71,59,201,188,80,Romania,CB RB
7167,S. ivec,26,68,6,68,1.1,1739,69,43,86,84,67,67,66,93,170,70,Slovenia,LM RM
7168,A. El-Said,31,68,0,68,0,1775,76,43,79,71,74,64,63,104,176,75,Egypt,CAM RW
7169,J. Ojala,28,68,4,69,0.924,1418,52,58,49,49,60,70,41,198,191,85,Finland,CB
7170,Lee Bum Young,28,68,4,68,0.7,1076,38,23,23,51,16,59,13,51,194,90,Korea Republic,GK
7171,D. Wilson,25,68,5,71,1.1,1583,54,75,58,42,60,63,31,197,187,79,Scotland,CB
7172,B. Kessel,29,68,9,68,0.756,1795,63,78,54,56,64,65,63,212,191,80,Germany,RB CB RM
7173,I. Ciss,23,68,22,73,1.1,1808,76,73,74,64,66,62,56,205,181,84,Belgium,CDM CM
7174,F. Currimila,33,68,3,68,0.392,1644,72,50,48,68,50,59,62,201,177,75,Chile,RB
7175,Aitor Buuel,19,68,4,82,1.9,1666,80,62,72,85,63,60,68,194,173,65,Spain,RWB RB RM
7176,M. Dabo,30,68,14,68,0.728,1828,72,72,75,80,63,66,58,204,176,65,France,LB RB
7177,S. McTominay,20,68,48,81,1.9,1806,68,72,62,52,68,70,66,183,193,88,Scotland,CM CDM
7178,K. Tokura,31,68,4,68,0.896,1612,73,79,64,63,60,60,33,46,187,80,Japan,ST RW
7179,N. Pedersen,29,68,12,68,1,1643,41,51,56,49,72,77,52,68,188,84,Denmark,ST
7180,P. Hanlon,27,68,5,70,0.98,1588,74,66,80,64,55,53,59,205,185,70,Scotland,CB
7181,S. Krivets,31,68,5,68,0.868,1733,70,40,67,66,70,66,65,140,177,74,Belarus,CAM CM
7182,Fabrcio Baiano,25,68,6,72,1.1,1713,66,67,66,64,68,57,51,204,177,75,Brazil,CDM
7183,D. Miloevi,22,68,11,75,1.4,1713,67,61,73,65,71,65,66,99,182,73,Bosnia Herzegovina,CAM LM ST
7184,Matos,22,68,4,75,1.2,1714,82,72,79,84,67,56,71,191,168,68,Spain,LB LWB
7185,C. Kyriakou,22,68,5,74,1.2,1728,60,70,61,63,66,64,65,189,180,74,Cyprus,CDM RB
7186,M. Davidson,29,68,6,68,0.952,1858,78,69,84,54,67,68,54,188,183,69,Scotland,CM
7187,T. Aoki,27,68,8,68,0.84,1806,73,71,67,65,65,66,58,192,179,77,Japan,CDM CM
7188,Campabadal,24,68,5,73,1.1,1584,70,68,71,69,62,58,65,211,178,77,Spain,RB RM LB
7189,B. Godeau,25,68,8,71,1.1,1558,47,67,56,57,61,59,62,202,190,78,Belgium,CB LB
7190,C. Mammarella,35,68,2,68,0.448,1908,69,68,75,75,68,73,77,205,175,70,Italy,LM LB
7191,Lobato,28,68,6,68,1,1795,69,58,78,83,73,57,65,171,174,66,Spain,RM LM CM LWB
7192,C. Moi,32,68,0,68,0,1601,66,84,58,55,55,51,58,201,183,78,Romania,CB
7193,S. Vuur,25,68,8,71,1.1,1350,53,74,43,46,46,64,25,191,194,90,Austria,CB
7194,Adalton,26,68,5,69,1.2,1762,69,62,89,67,70,60,60,69,176,83,Brazil,ST LM CF
7195,A. Blomqvist,25,68,4,71,1.2,1809,64,57,70,77,69,68,67,147,182,70,Sweden,CM LM CDM RM
7196,B. Galloway,21,68,38,76,1.3,1649,79,62,74,63,68,60,54,204,186,74,England,LB CB
7197,M. El Monir,25,68,5,71,1,1626,87,62,77,53,65,56,62,191,177,76,Libya,LB
7198,G. Gimnez,25,68,11,69,1.2,1851,62,71,71,55,68,69,68,174,188,88,Argentina,CM CDM
7199,R. Del Castillo,21,68,27,77,1.6,1794,76,67,92,89,71,63,64,120,172,60,France,RM
7200,B. Bese,23,68,5,73,1.1,1696,80,68,59,57,63,60,64,192,188,84,Hungary,RB
7201,A. Karnitskiy,28,68,14,68,0.812,1717,53,60,56,54,53,65,54,206,187,77,Belarus,CDM CM
7202,L. Daz,20,68,3,81,1.9,1604,83,54,81,66,66,64,52,103,180,73,Colombia,LM
7203,J. Guerrn,32,68,16,68,0.784,1853,77,78,71,65,72,60,67,136,178,80,Ecuador,RW ST
7204,Aguza,24,68,6,74,1.2,1832,58,60,59,70,75,61,66,200,175,68,Spain,CDM CAM CM
7205,M. Zullo,28,68,7,68,0.784,1858,79,67,85,88,70,65,71,195,170,63,Australia,LB
7206,C. Noone,29,68,24,68,0.98,1751,85,48,84,80,72,46,71,95,177,69,England,RM
7207,J. Amione,27,68,7,68,1.1,1698,70,86,73,74,66,56,63,59,173,77,Mexico,ST
7208,Derik,24,68,18,72,1.1,1765,66,65,71,66,66,64,52,195,183,74,Spain,CDM CB CM
7209,O. Osawe,23,68,9,73,1.4,1592,81,46,70,67,61,62,37,61,181,79,Nigeria,ST RM
7210,G. Cano,29,68,4,68,1,1670,66,32,70,69,65,67,44,60,176,72,Argentina,ST CAM
7211,I. Arboleda,21,68,6,78,1.3,1175,58,22,57,57,21,39,20,40,181,78,Colombia,GK
7212,B. Yardmc,24,68,10,70,1,1697,76,71,71,71,64,54,61,203,176,71,Turkey,RB CB
7213,Jess Ferdeira,25,68,9,68,0.868,1767,62,71,53,64,59,62,67,211,181,80,Brazil,LB
7214,A. Brighenti,29,68,4,68,1,1646,58,64,52,67,67,61,39,70,179,79,Italy,ST
7215,A. Grimaldi,26,68,1,69,1.2,1617,56,73,60,55,60,62,43,47,188,90,Germany,ST
7216,S. D'Elia,28,68,4,68,0.784,1763,76,69,73,65,64,62,67,193,183,76,Italy,LB LM
7217,R. Fiamozzi,24,68,15,73,1.1,1789,76,62,73,70,64,59,67,192,175,76,Italy,RB RM LB
7218,E. Markov,22,68,21,74,1.4,1553,63,60,61,58,55,54,34,51,187,84,Russia,ST
7219,T. Petsos,26,68,16,69,0.98,1832,54,70,68,65,68,66,41,197,184,80,Greece,CDM CM
7220,J. Riocel,33,68,4,68,0.616,1774,80,52,82,75,63,59,55,115,170,66,Chile,CAM
7221,Chi Zhongguo,27,68,0,68,0,1757,73,80,74,77,65,62,51,188,174,65,China PR,CM CAM
7222,R. Gumny,19,68,4,82,1.9,1607,90,45,74,66,67,65,62,197,177,61,Poland,RB
7223,N. Lima,22,68,5,74,1.2,1878,84,75,74,68,65,62,66,197,175,80,United States,RB RWB LB
7224,D. Gorter,29,68,9,68,0.952,1963,67,82,74,77,70,70,70,202,175,70,Netherlands,CM
7225,M. Stiepermann,26,68,21,69,0.952,1897,72,61,67,62,69,66,64,188,190,86,Germany,LB CM CDM LM
7226,A. Crawford,25,68,6,69,1.2,1882,71,65,78,75,69,60,66,171,179,63,Scotland,CM LM CAM
7227,A. Dudiev,27,68,15,68,1.1,1761,82,72,64,75,70,69,66,184,180,72,Russia,RM RB
7228,B. Zech,26,68,11,68,0.868,1520,68,65,42,52,49,63,44,204,186,80,Austria,CB
7229,J. Eilers,29,68,20,68,0.98,1730,78,63,69,70,66,68,62,80,187,77,Germany,RW LW RM
7230,J. Horn,20,68,15,79,1.5,1655,76,66,66,61,65,50,67,195,186,77,Germany,LB CB
7231,M. Agazzi,32,68,2,68,0.588,1098,46,33,52,46,16,55,15,33,190,80,Italy,GK
7232,G. Kuwik,30,68,7,68,0.98,1699,70,50,67,68,67,63,58,73,181,75,Poland,ST
7233,Yeo Reum,28,68,4,68,1,1849,75,62,76,81,64,60,59,179,175,69,Korea Republic,CM
7234,C. Rivieyran,26,68,5,69,0.952,1741,77,72,64,82,61,59,62,191,172,68,France,RB LB
7235,A. Martinelli,24,68,3,75,1.2,1782,66,70,62,78,70,63,51,184,176,69,Switzerland,CDM CM
7236,K. Henry,34,68,21,68,0.302,1757,50,82,50,59,65,70,62,203,185,80,England,CDM
7237,P. Polomat,23,68,17,72,1.1,1802,80,75,65,66,63,58,69,195,183,77,France,LB
7238,Y. Ono,24,68,4,70,1.2,1753,76,59,78,82,70,67,57,80,170,69,Japan,CAM
7239,A. Levipan,25,68,4,68,1.1,1627,51,56,41,51,66,75,49,113,186,80,Chile,ST
7240,J. Lazare Amani,19,68,5,78,1.6,1775,79,66,81,80,73,68,58,149,172,66,Ivory Coast,CM
7241,M. Bai,29,68,13,68,0.784,1782,66,60,73,54,60,67,58,198,188,82,Croatia,CDM CB
7242,Jon Erice,30,68,6,68,0.756,1749,58,73,59,69,64,63,56,192,177,72,Spain,CDM CM
7243,Kang Min Soo,31,68,6,68,0.672,1637,66,73,67,66,62,50,43,196,186,76,Korea Republic,CB
7244,B. Grougi,33,68,5,68,0.42,1879,61,65,71,82,68,78,72,195,173,70,France,CDM CM
7245,R. Fennell,28,68,1,68,0.812,1829,64,82,68,61,67,69,57,168,183,82,United States,CDM CB
7246,G. Monachello,23,68,17,74,1.4,1538,53,40,61,54,68,63,43,57,184,79,Italy,ST
7247,N. Vlai,19,68,31,82,2.1,1730,80,63,75,76,73,59,64,95,178,72,Croatia,RM CAM
7248,Bruno Teles,31,68,6,68,0.644,1858,68,68,60,63,72,68,68,196,183,77,Brazil,LB
7249,C. Avevor,25,68,11,70,1,1593,61,70,57,58,59,50,55,193,185,88,Germany,CB CDM
7250,T. Hoban,23,68,25,71,1.1,1571,53,56,57,49,58,64,53,205,188,84,Republic of Ireland,CB LB
7251,D. Burbano,29,68,4,68,0.98,1785,80,35,81,79,70,67,66,140,168,63,Colombia,LM
7252,M. Fissore,26,68,7,71,1,1751,63,73,90,85,73,44,45,184,165,63,Argentina,CDM
7253,F. Schleusener,25,68,17,69,1.2,1625,76,51,67,58,67,59,60,61,186,80,Germany,ST
7254,Jung Won Jin,22,68,7,75,1.4,1748,74,58,63,71,71,52,68,150,176,65,Korea Republic,CM RM
7255,J. Toivio,29,68,5,68,0.784,1743,53,71,53,59,58,64,55,196,186,87,Finland,CB
7256,H. Akbunar,23,68,11,72,1.3,1607,81,52,75,72,66,48,65,103,167,61,Turkey,LM RM
7257,S. Elbers,25,68,8,69,1.2,1651,80,59,74,75,70,67,62,79,172,66,Netherlands,RM LM
7258,I. Tarasovs,28,68,6,69,0.924,1686,67,55,52,58,61,66,49,203,190,85,Latvia,CB
7259,J. Michel,25,68,10,70,1.2,1805,47,58,71,70,70,73,71,156,180,68,France,CM CDM CAM LM
7260,C. Guanca,24,68,8,71,1.3,1697,81,54,72,69,70,65,60,98,177,78,Argentina,LM CAM RM
7261,E. Herrera,28,68,36,68,1,1680,39,72,47,32,66,67,51,84,187,86,Mexico,ST
7262,Jess Fernndez,29,68,5,69,0.784,1085,49,24,34,42,13,40,13,39,190,83,Spain,GK
7263,T. De Sutter,31,68,11,68,0.896,1659,43,69,33,32,68,64,54,103,192,92,Belgium,ST
7264,S. Umar,20,68,30,80,1.8,1520,67,30,58,40,66,63,43,48,192,80,Nigeria,ST
7265,M. Moreno,23,68,11,74,1.4,1731,81,48,82,82,66,63,61,104,168,65,Argentina,LW RW ST
7266,A. Mengoni,33,68,3,68,0.42,1475,54,74,48,78,44,68,27,204,187,96,Italy,CB
